"year"	"streamflow"	"station"	"nino"	"ivar"
1966	0.214965913715914	6	-0.285327393332258	1
1967	0.129137006512006	6	-0.563622258197004	1
1968	0.0146654202279202	6	0.38464172578658	1
1969	0.957659684065934	6	0.700729723883511	1
1970	0.331780270655271	6	-0.938117813653332	1
1971	0.0639612806847545	6	-0.962167994031641	1
1972	1.56598387260887	6	1.81047343739862	1
1973	0.329870205026455	6	-1.86576736320249	1
1974	0.227963191900692	6	-0.71479478081853	1
1975	0.497451872201872	6	-1.56685806390332	1
1976	0.390679398148148	6	0.803801896055641	1
1977	0.0263097654660155	6	0.724779893954602	1
1978	0.116905234053498	6	-0.329991997837774	1
1979	0.172696047008547	6	0.432742076235979	1
1980	0.00694178622303622	6	-0.0173397456847221	1
1981	0.477129286223036	6	-0.106668965002972	1
1982	0.0289737993487994	6	2.05784665061172	1
1983	0.680675925925926	6	-0.81786695299066	1
1984	0.369920393264143	6	-0.55331504097979	1
1985	0.0287481303418803	6	-0.333427743781654	1
1986	0.162910841473342	6	1.00651049445601	1
1987	0.0761444597069597	6	1.55966448854885	1
1988	0.116930034086284	6	-1.49814328932671	1
1989	0.227873418209877	6	-0.192562438377342	1
1990	0.0230211385836386	6	0.388077461423245	1
1991	8.72761497761498e-05	6	1.05461084490541	1
1992	0.0506309142246642	6	-0.0207754813213876	1
1993	0.0202446708384208	6	0.343412856917729	1
1994	0.000901327838827839	6	1.00651049445601	1
1995	0.127354293854294	6	-0.766330866904595	1
1996	0.0693836233211234	6	-0.247534260100069	1
1997	0.0941493182743182	6	2.57664325741625	1
1998	0.245945881664632	6	-1.2370271129525	1
1999	0.987667073667074	6	-1.14082642236092	1
2000	0.00355693607764391	6	-0.484600256095965	1
2001	0.0237587705761317	6	-0.0448256616996964	1
2002	0.00438156731169372	6	1.50812840246278	1
2003	0.00454881461131461	6	0.556428682842531	1
2004	0.010212795781893	6	0.954974408369953	1
2005	0.0815576414326414	6	-0.0379541801191474	1
2006	0.00272012602880658	6	0.985896060021589	1
2008	0.294180657305657	6	-0.158205051089037	1
2009	0.0420563695563695	6	1.24014075481524	1
2010	0.621753586691086	6	-1.49127180774616	1
2011	0.0436107381687243	6	-0.838481387425085	1
2012	0.0100251958689459	6	0.477406680741495	1
2013	0.0298131868131868	6	0.0238891231841284	1
2014	0.00592548076923077	6	0.714472676737391	1
1970	0.340667048229548	7	-0.938117813653332	1
1971	0.051023427960928	7	-0.962167994031641	1
1972	0.964618360805861	7	1.81047343739862	1
1973	0.255669254577611	7	-1.86576736320249	1
1974	0.178491770960521	7	-0.71479478081853	1
1975	0.560530774176955	7	-1.56685806390332	1
1976	0.386725096662597	7	0.803801896055641	1
1977	0.0163385830026455	7	0.724779893954602	1
1978	0.158542200854701	7	-0.329991997837774	1
1979	0.0508927935490436	7	0.432742076235979	1
1980	0.0106859864672365	7	-0.0173397456847221	1
1981	0.189460164835165	7	-0.106668965002972	1
1982	0.12886644027269	7	2.05784665061172	1
1983	0.520562767094017	7	-0.81786695299066	1
1984	0.253191201159951	7	-0.55331504097979	1
1985	0.0215556445868946	7	-0.333427743781654	1
1986	0.080784327940578	7	1.00651049445601	1
1987	0.152170062576313	7	1.55966448854885	1
1988	0.297763644547325	7	-1.49814328932671	1
1989	0.130949438202247	7	-0.192562438377342	1
1990	0.0347566264753765	7	0.388077461423245	1
1991	0.00383562271062271	7	1.05461084490541	1
1992	0.0289304398148148	7	-0.0207754813213876	1
1993	0.0163740715303215	7	0.343412856917729	1
1994	0.00150794579692052	7	1.00651049445601	1
1995	0.0976181573056574	7	-0.766330866904595	1
1996	0.0608360678673179	7	-0.247534260100069	1
1997	0.0698684027777778	7	2.57664325741625	1
1998	0.150452910424469	7	-1.2370271129525	1
1999	0.917121438746439	7	-1.14082642236092	1
2000	0.0133277694109772	7	-0.484600256095965	1
2001	0.0388949303011803	7	-0.0448256616996964	1
2002	0.000727500508750509	7	1.50812840246278	1
2003	0.00546506155881155	7	0.556428682842531	1
2004	0.00037525871459695	7	0.954974408369953	1
2005	0.00141065069190069	7	-0.0379541801191474	1
2006	0.00269948107448107	7	0.985896060021589	1
2007	0.0789424094424094	7	-1.18549102686644	1
2008	0.201443968621399	7	-0.158205051089037	1
2009	0.0241127518315018	7	1.24014075481524	1
2010	0.71491756969882	7	-1.49127180774616	1
2011	0.14367584961335	7	-0.838481387425085	1
2012	0.0342803215303215	7	0.477406680741495	1
2013	0.0538426816239316	7	0.0238891231841284	1
2014	0.0218682972120472	7	0.714472676737391	1
1954	1.68663208435084	8	-1.24733433016972	1
1955	0.365898491554741	8	-1.92761066650577	1
1956	0.375378294159544	8	-0.862531557496176	1
1957	0.211936914936915	8	1.00651049445601	1
1958	0.201325511294261	8	0.0170176416035831	1
1959	2.44433265923891	8	-0.46398582166154	1
1960	0.158865448209198	8	-0.216612608448433	1
1961	2.46419397385022	8	-0.68387312916689	1
1962	0.268261396011396	8	-0.649515731571371	1
1963	0.268055606430606	8	0.920617021081647	1
1964	0.556279265873016	8	-1.2370271129525	1
1965	0.513304741554742	8	1.63181500906934	1
1966	0.552539962352462	8	-0.285327393332258	1
1967	0.592508864977615	8	-0.563622258197004	1
1968	0.142026264245014	8	0.38464172578658	1
1969	1.42847732244607	8	0.700729723883511	1
1970	0.22057147944648	8	-0.938117813653332	1
1971	0.237782521876272	8	-0.962167994031641	1
1972	3.82248753561254	8	1.81047343739862	1
1973	0.634220734126984	8	-1.86576736320249	1
1974	0.660539873321123	8	-0.71479478081853	1
1975	1.18212610653236	8	-1.56685806390332	1
1976	0.607002149470899	8	0.803801896055641	1
1977	0.117343279405779	8	0.724779893954602	1
1978	0.477976311728395	8	-0.329991997837774	1
1979	0.518785587098087	8	0.432742076235979	1
1980	0.0632039072039072	8	-0.0173397456847221	1
1981	0.292019218050468	8	-0.106668965002972	1
1982	0.393066175722426	8	2.05784665061172	1
1983	1.84073661986162	8	-0.81786695299066	1
1984	1.0997807030932	8	-0.55331504097979	1
1985	0.277653591778592	8	-0.333427743781654	1
1986	0.227726508445258	8	1.00651049445601	1
1987	0.3852216498779	8	1.55966448854885	1
1988	1.27909592490842	8	-1.49814328932671	1
1989	0.492280207061457	8	-0.192562438377342	1
1990	0.411343559218559	8	0.388077461423245	1
1991	0.0294913766788767	8	1.05461084490541	1
1992	0.166365944240944	8	-0.0207754813213876	1
1993	0.221643454924705	8	0.343412856917729	1
1994	0.00568930606430606	8	1.00651049445601	1
1995	0.259677859177859	8	-0.766330866904595	1
1996	0.507338993182743	8	-0.247534260100069	1
1997	0.415201658950617	8	2.57664325741625	1
1998	0.476980031542532	8	-1.2370271129525	1
1999	1.47034261831276	8	-1.14082642236092	1
2000	0.202148656898657	8	-0.484600256095965	1
2001	0.126064248971193	8	-0.0448256616996964	1
2003	0.273982511701262	8	0.556428682842531	1
2004	0.310638297325102	8	0.954974408369953	1
2005	0.229328182234432	8	-0.0379541801191474	1
2006	0.227437283781034	8	0.985896060021589	1
2007	0.102233923483923	8	-1.18549102686644	1
2008	0.515919922669923	8	-0.158205051089037	1
2009	0.0837457646520146	8	1.24014075481524	1
2010	1.61763278388278	8	-1.49127180774616	1
2011	0.481361352767603	8	-0.838481387425085	1
2012	0.147417773199023	8	0.477406680741495	1
2013	0.224622354497354	8	0.0238891231841284	1
2014	0.0498837123524623	8	0.714472676737391	1
1973	0.372527294464794	9	-1.86576736320249	1
1974	0.361929105616606	9	-0.71479478081853	1
1975	0.466306903744404	9	-1.56685806390332	1
1976	0.54797617026749	9	0.803801896055641	1
1977	0.127581597222222	9	0.724779893954602	1
1978	0.324414644383394	9	-0.329991997837774	1
1979	0.20108181980057	9	0.432742076235979	1
1980	0.0812327787952788	9	-0.0173397456847221	1
1981	0.36149317002442	9	-0.106668965002972	1
1982	0.253459897741148	9	2.05784665061172	1
1983	1.23020300417175	9	-0.81786695299066	1
